x,y
-7.810251527875234911e-01,-2.239552649821511254e-01
-7.755631734850846337e-01,-2.371133630107914447e-01
-7.965098387173740191e-01,-2.588016361836056878e-01
-8.017997737275411874e-01,-2.760817014353391108e-01
-8.137738399831372371e-01,-2.961893508854185342e-01
-8.136153914586391478e-01,-3.123175809615509335e-01
-8.187033964221130944e-01,-3.307775344821755614e-01
-8.588310411760773366e-01,-3.645520319337950954e-01
-8.244748483877616385e-01,-3.670797387821254643e-01
-8.492104212114690576e-01,-3.959932028706944496e-01
-8.686845345633623650e-01,-4.236856313462250556e-01
-8.611578430014382723e-01,-4.387817099881727301e-01
-8.900112436128101434e-01,-4.732272381500305380e-01
-8.536288997179687366e-01,-4.731740937270036973e-01
-8.985014387150920268e-01,-5.187499051554278484e-01
-9.103117697129711194e-01,-5.469703455352963317e-01
-9.235244346172141183e-01,-5.770819608907542531e-01
-8.818621400241553054e-01,-5.726878187760868766e-01
-8.829251343227504378e-01,-5.955403672806185433e-01
-8.576522071821168769e-01,-6.005343851371698349e-01
-8.733338905742210612e-01,-6.345140495664507441e-01
-8.709121020042587258e-01,-6.562791740887657932e-01
-8.782381056061349112e-01,-6.861546340999760130e-01
-7.841404027120494336e-01,-6.349842170105992611e-01
-8.855474826259368548e-01,-7.430623782078270567e-01
-8.747085280727128209e-01,-7.603723308696662686e-01
-8.598187085202898539e-01,-7.741840469430160132e-01
-8.593406656446347380e-01,-8.013479321198165861e-01
-8.671642402504241565e-01,-8.374105603143932042e-01
-8.389823539423987286e-01,-8.389821403144005485e-01
-8.256015322709935322e-01,-8.549351949876786705e-01
-8.057811447850400377e-01,-8.640942642753081104e-01
-8.303911593543017444e-01,-9.222425745122188045e-01
-1.142500311648321082e-01,-1.978867966825917923e-01
-7.936043416459617195e-01,-1.964238879229400547e+00
6.871390488446007527e-01,-1.335664415567840435e-01
6.780401602915377968e-01,-1.195569127198216203e-01
6.879249108814492475e-01,-1.089567420510968304e-01
2.078732829247432079e+00,-7.259137156825254400e-02
