x,y
9.990129581027407113e-01,1.325734890061303961e+00
1.001586109786625878e+00,1.378564924724985374e+00
1.018098206097964198e+00,1.453994827398471967e+00
1.010461646972369509e+00,1.498070895585647655e+00
1.007582277804570436e+00,1.551540538197126340e+00
1.004726992410999165e+00,1.607899180792877303e+00
1.001749138373199344e+00,1.667190411382927673e+00
9.970000376464670522e-01,1.726854584957808525e+00
9.899813330043296666e-01,1.785973456186209951e+00
9.901155760203675937e-01,1.862136409974713969e+00
9.851594879961130813e-01,1.933484190348337073e+00
1.072971359088539911e+00,2.409932887645363397e+00
-5.746276850314433471e-01,1.668840307848042492e+00
-5.793820256710109362e-01,1.591839341050360845e+00
-1.136852806537060889e+00,1.262603144107202535e+00
-1.161443078983274146e+00,1.245495404297613184e+00
-1.133682350377100301e+00,1.173962618158721050e+00
-1.165311887727964235e+00,1.165312065760287785e+00
-1.155978968436998766e+00,1.116316085647594658e+00
-5.670194704774317307e-01,5.105467045855619501e-01
-5.532020697255961572e-01,4.808912989341174726e-01
-1.103547160620264478e+00,8.936350163279058734e-01
-1.273823583704691398e+00,9.598950822169941555e-01
-1.228087730160024371e+00,8.922581169694595582e-01
-1.395835000153331507e+00,9.773743598777601127e-01
-1.846243402969154346e+00,9.816652341848655094e-01
-2.083601539655463686e+00,9.715995769632870260e-01
-2.164761371489932973e+00,6.207355519456297932e-01
-6.940104226480006133e-01,1.349020293726622133e-01
-2.856191134725674985e+00,-6.071018427505453507e-01
-2.780852324215265181e+00,-6.420100260039354190e-01
-2.944057005401728322e+00,-1.071548740639876485e+00
-3.189512660055261684e+00,-1.288646338226268062e+00
-2.930887610340895844e+00,-1.244087582414598492e+00
-2.774437643432016376e+00,-1.235258840715216300e+00
-3.023442909977525073e+00,-1.409854155947236620e+00
-1.054285456532009002e+00,-5.142092226776323605e-01
-9.257558644711338935e-01,-4.716960363833611058e-01
-8.811817755521236251e-01,-4.685325280385812530e-01
-2.283709219131632384e+00,-1.318499770597208354e+00
-2.173776441967257167e+00,-1.306136305316821788e+00
-2.031923313058549674e+00,-1.269686264842016854e+00
